id,author,created,updated,title,body,url,full_text,clean_text,sentiment_score
51527535,Benzinga Senior Editor,"Sat, 28 Mar 2026 08:31:51 -0400","Sat, 28 Mar 2026 08:31:52 -0400","Benzinga Bulls And Bears: Arm, Destiny Tech, Salesforce — And Nasdaq Enters Correction","(None, [])",https://www.benzinga.com/markets/market-summary/26/03/51527535/benzinga-bulls-and-bears-arm-destiny-tech-salesforce-and-nasdaq-enters-correction,"Benzinga Bulls And Bears: Arm, Destiny Tech, Salesforce — And Nasdaq Enters Correction (None, [])",benzinga bulls and bears arm destiny tech salesforce and nasdaq enters correction none,0.0
51526876,Mohd Haider,"Sat, 28 Mar 2026 00:01:04 -0400","Sat, 28 Mar 2026 02:59:53 -0400","Marco Rubio Says US-Iran War To End In 'Weeks, Not Months' And No Ground Troops Needed","(None, [])",https://www.benzinga.com/news/politics/26/03/51526876/marco-rubio-says-us-iran-war-to-end-in-weeks-not-months-and-no-ground-troops-needed,"Marco Rubio Says US-Iran War To End In 'Weeks, Not Months' And No Ground Troops Needed (None, [])",marco rubio says usiran war to end in weeks not months and no ground troops needed none,-0.461
51525990,Benzinga Insights,"Fri, 27 Mar 2026 19:00:55 -0400","Fri, 27 Mar 2026 19:00:56 -0400","If You Invested $100 In UnitedHealth Group Stock 15 Years Ago, You Would Have This Much Today","(None, [])",https://www.benzinga.com/insights/news/26/03/51525990/if-you-invested-100-in-unitedhealth-group-stock-15-years-ago-you-would-have-this-much-today,"If You Invested $100 In UnitedHealth Group Stock 15 Years Ago, You Would Have This Much Today (None, [])",if you invested in unitedhealth group stock years ago you would have this much today none,0.0
51524542,Caroline Ryan,"Fri, 27 Mar 2026 16:40:44 -0400","Fri, 27 Mar 2026 16:40:44 -0400",Oaktree To Fulfill All Redemption Requests In Its Private Credit Fund,"(None, [])",https://www.benzinga.com/markets/private-markets/26/03/51524542/oaktree-to-fulfill-all-redemption-requests-in-its-private-credit-fund,"Oaktree To Fulfill All Redemption Requests In Its Private Credit Fund (None, [])",oaktree to fulfill all redemption requests in its private credit fund none,0.6705
51521443,Benzinga Newsdesk,"Fri, 27 Mar 2026 15:08:29 -0400","Fri, 27 Mar 2026 15:08:30 -0400",Shares of restaurant companies are trading lower as concerns about overall inflation and consumer pressures dampen sentiment around the sector.,"(None, [])",https://www.benzinga.com/wiim/26/03/51521443/shares-of-restaurant-companies-are-trading-lower-as-concerns-about-overall-inflation-and-consumer-pr,"Shares of restaurant companies are trading lower as concerns about overall inflation and consumer pressures dampen sentiment around the sector. (None, [])",shares of restaurant companies are trading lower as concerns about overall inflation and consumer pressures dampen sentiment around the sector none,-0.3182
51520554,Chris Katje,"Fri, 27 Mar 2026 14:37:11 -0400","Fri, 27 Mar 2026 14:37:12 -0400","Republican Representative Backs Iran War, Then Cashes Out Chevron Stock At All-Time High","(None, [])",https://www.benzinga.com/news/politics/26/03/51520554/republican-representative-backs-iran-war-cashes-out-chevron-stock-at-all-time-high,"Republican Representative Backs Iran War, Then Cashes Out Chevron Stock At All-Time High (None, [])",republican representative backs iran war then cashes out chevron stock at alltime high none,-0.6249
51519800,The Arora Report,"Fri, 27 Mar 2026 14:16:23 -0400","Fri, 27 Mar 2026 14:17:41 -0400",Is Trump's Deadline Extension A Red Flag? China Strikes At A Preoccupied US; Turkey Sells Gold,"(None, [])",https://www.benzinga.com/Opinion/26/03/51519800/is-trump-deadline-extension-a-red-flag-china-strikes-at-a-preoccupied-us-turkey-sells-gold,"Is Trump's Deadline Extension A Red Flag? China Strikes At A Preoccupied US; Turkey Sells Gold (None, [])",is trumps deadline extension a red flag china strikes at a preoccupied us turkey sells gold none,-0.3612
51519154,Daragh Thomas,"Fri, 27 Mar 2026 13:57:30 -0400","Fri, 27 Mar 2026 13:57:31 -0400",Dow Dives Into Correction As Chance Of Rate Hike Spikes: What Do Prediction Markets Think?,"(None, [])",https://www.benzinga.com/markets/prediction-markets/26/03/51519154/dow-dives-into-correction-as-chance-of-rate-hike-spikes-what-do-prediction-markets-think,"Dow Dives Into Correction As Chance Of Rate Hike Spikes: What Do Prediction Markets Think? (None, [])",dow dives into correction as chance of rate hike spikes what do prediction markets think none,0.25
51518595,Benzinga Newsdesk,"Fri, 27 Mar 2026 13:45:31 -0400","Fri, 27 Mar 2026 13:45:32 -0400",'Apple Says It Has Hired Ex-Google Executive Lilian Rincon As The Vice President Of Product Marketing For AI Amid Push To Improve Siri' - Reuters News,"(None, [])",https://www.benzinga.com/news/26/03/51518595/apple-says-it-has-hired-ex-google-executive-lilian-rincon-as-the-vice-president-of-product-marketing,"'Apple Says It Has Hired Ex-Google Executive Lilian Rincon As The Vice President Of Product Marketing For AI Amid Push To Improve Siri' - Reuters News (None, [])",apple says it has hired exgoogle executive lilian rincon as the vice president of product marketing for ai amid push to improve siri reuters news none,0.4404
51518276,Benzinga Insights,"Fri, 27 Mar 2026 13:35:26 -0400","Fri, 27 Mar 2026 13:35:26 -0400",9 Communication Services Stocks With Whale Alerts In Today's Session,"(None, [])",https://www.benzinga.com/insights/options/26/03/51518276/9-communication-services-stocks-with-whale-alerts-in-todays-session,"9 Communication Services Stocks With Whale Alerts In Today's Session (None, [])",communication services stocks with whale alerts in todays session none,0.0
